Provinsi,Tahun,Produksi,Luas Panen,Curah hujan,Kelembapan,Suhu rata-rata
4,0.5555555555555571,0.09328398390211468,0.10456334856630037,0.5290499103689027,0.7142857142857144,0.6801566579634462
4,0.5925925925925952,0.1009664642546295,0.10657299546429982,0.5976978960279272,0.6043956043956045,0.719321148825065
4,0.6296296296296333,0.10994406747536403,0.11480550718843407,0.5976978960279272,0.6043956043956045,0.719321148825065
4,0.6666666666666714,0.10186742827993586,0.10140868465880765,0.41183130484007924,0.5576923076923075,0.6279373368146213
4,0.7037037037037095,0.09698209088554698,0.09989311198281176,0.4554203226719502,0.6016483516483513,0.6671018276762402
4,0.7407407407407476,0.08085857593117701,0.06839958588675008,0.45391074629682043,0.598901098901099,0.4973890339425586
4,0.7777777777777857,0.07079915447037514,0.05298323497468413,0.40013208793282384,0.6565934065934065,0.6540469973890337
4,0.8148148148148096,0.07254403593438899,0.054847129977192544,0.3445230682139825,0.7225274725274726,0.6540469973890337
4,0.8518518518518476,0.058470270977487054,0.011127737257652884,0.3553354090008491,0.8109890109890112,0.6279373368146213
4,0.8888888888888857,0.06086684768623385,0.008490616097708903,0.5208793282385131,0.8395604395604397,0.5887728459530024
4,0.9259259259259238,0.046182421755749256,0.01025950062732603,0.3046702519105576,0.4675824175824175,0.366840731070496
4,0.9629629629629619,0.03884458546250417,0.0,0.2614963675818473,0.8123626373626371,0.6161879895561357
4,1.0,0.04679598673129466,0.001965291384719084,0.44577790357580904,0.7582417582417582,0.488250652741514
2,0.0,0.11669561367555498,0.1683421546991844,0.32672893669214076,0.8134615384615387,0.5352480417754566
2,0.03703703703703809,0.10784781210838604,0.14931782678093747,0.30219832059628265,0.7431318681318682,0.4334203655352482
2,0.07407407407407618,0.11379636559503827,0.16122130997455814,0.3901500141522785,0.8175824175824173,0.5261096605744124
2,0.11111111111111427,0.12705514978759447,0.18877706452125148,0.3937352580432116,0.8076923076923075,0.4973890339425586
2,0.14814814814815236,0.10940770554701579,0.15744411254734095,0.15239173506934617,0.7263736263736265,0.56266318537859
2,0.18518518518519045,0.10486216738584636,0.14281704520492566,0.4078309274459855,0.8041208791208789,0.5992167101827675
